ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.5449875392884475	302.14	11.268292682926829	104.51219512195122	79.78048780487805	0.7449603596764341	28	374	486	17.0	309.0	236.0	158	3.0	3.0	2.0	0	0	0.7500283718109131	2900	26.554112195968628	2067	28.72413793103449	
0.596604320052553	287.75	11.295454545454545	103.5909090909091	79.06818181818181	0.7449603596764341	29	387	486	17.0	308.0	236.0	147	5.0	11.0	8.0	0	0	0.7903831005096436	3000	27.34449529647827	2146	28.46666666666667	
0.641196771448678	299.61	11.534090909090908	106.0909090909091	80.93181818181819	0.7449603596764341	30	400	486	17.0	336.0	258.0	142	6.0	19.0	14.0	0	0	0.8023831844329834	3100	28.146878480911255	2224	28.25806451612904	
0.6120602831439513	308.08	10.988235294117647	95.25882352941177	72.56470588235294	0.7449603596764341	31	416	493	17.0	309.0	236.0	136	5.0	11.0	8.0	0	0	0.7435452938079834	3200	28.89042377471924	2297	28.21875	
0.6126800479838964	311.77	10.967032967032967	96.83516483516483	73.78021978021978	0.7449603596764341	32	426	494	17.0	261.0	198.0	167	5.0	11.0	8.0	0	0	0.792428731918335	3300	29.682852506637573	2367	28.272727272727266	
0.5743708025242987	302.62	11.0	99.24418604651163	75.65116279069767	0.7452510859123807	33	441	484	17.0	311.0	236.0	167	3.0	3.0	2.0	0	0	0.7645087242126465	3400	30.44736123085022	2444	28.117647058823522	
0.5588602906268537	299.14	10.526881720430108	89.6236559139785	68.19354838709677	0.7479765898464955	34	449	475	17.0	268.0	204.0	176	3.0	3.0	2.0	0	0	0.7981939315795898	3500	31.24555516242981	2520	28.0	
0.5941050243998598	319.01	11.26595744680851	102.48936170212765	78.0	0.7479765898464955	35	456	488	17.0	323.0	246.0	185	5.0	11.0	8.0	0	0	0.8324475288391113	3600	32.07800269126892	2600	27.777777777777786	
0.5709467986829262	302.75	10.703296703296703	93.07692307692308	70.96703296703296	0.7479765898464955	36	466	466	17.0	345.0	264.0	148	3.0	3.0	2.0	0	0	0.7871148586273193	3700	32.86511754989624	2672	27.78378378378379	
0.49533734290836884	306.93	10.54639175257732	88.9278350515464	67.75257731958763	0.7479765898464955	37	470	469	17.0	305.0	232.0	172	5.0	11.0	8.0	0	0	0.8302173614501953	3800	33.695334911346436	2752	27.57894736842104	
